¿Cuál es su sexo?;¿Cuál es su año de nacimiento?;Edad;¿Cuál es su Nacionalidad?;"Ha seleccionado ""Otra"", por favor, indíquela:";Código Postal;¿Cuál es su nivel de estudios alcanzados?;Situación profesional:;"Ha seleccionado ""Otra situación"", por favor, especifique:";¿Con qué frecuencia visita la estación de esquí y montaña de Sierra Nevada en invierno?;¿Con qué frecuencia visita  la estación en conjunto? (Invierno y Verano);¿Qué opinión tiene de las actividades ofertadas?;Servicio de venta de forfaits;Servicio de atención al cliente;Colas en el Centro de Atención al Usuario (Atención al cliente y Taquillas);Colas en el acceso a los remontes;Preparación de las pistas;Número y variedad de pistas;Áreas recreativas y lúdicas para no esquiadores;Snowpark;Servicio de aparcamiento de pago (parking);Accesos por carretera a la estación de esqui, snowboard y montaña de Sierra Nevada;Movilidad en la urbanización;Mantenimiento y limpieza de la urbanización;¿Qué probabilidades hay de que recomiende Sierra Nevada a un amigo o compañero?;Created;Updated
Masculino;1986;38;Española;;41500;Bachiller/ FP Superior;Trabaja;;Entre 7 y 15 días al año;Entre 7 y 15 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;10;6;1;1;5;7;8;3;6;3;2;3;6;8/1/2024 15:38;8/1/2024 15:38
Masculino;1987;37;Española;;3660;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;8;8;8;1;6;8;8;8;8;8;1;8;8;9/1/2024 21:51;9/1/2024 21:51
Masculino;1995;29;Española;;3310;Grado / Licenciado / Doctorado;Trabaja;;Entre 7 y 15 días al año;Entre 7 y 15 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;9;10;7;4;10;10;10;10;6;7;8;8;10;8/1/2024 17:40;8/1/2024 17:40
Masculino;2002;22;Española;;3310;EGB / Primaria / ESO / FP Medio;Estudia;;Menos de 7 días al año;Menos de 7 días al año;Muchas actividades, la oferta es abundante.;10;10;10;10;10;10;10;9;8;10;10;10;10;8/1/2024 17:35;8/1/2024 17:35
Masculino;1983;41;Española;;41011;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;8;8;9;4;8;8;5;5;7;8;5;8;10;8/1/2024 17:33;8/1/2024 17:33
Masculino;1995;29;Española;;21002;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Muchas actividades, la oferta es abundante.;8;7;1;4;9;10;6;5;6;6;5;7;8;9/1/2024 21:43;9/1/2024 21:43
Masculino;1987;37;Española;;21880;Bachiller/ FP Superior;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Muy pocas actividades, es reducida la oferta.;8;8;9;6;9;8;9;7;8;8;5;8;10;8/1/2024 17:33;8/1/2024 17:33
Masculino;2008;16;Española;;41700;EGB / Primaria / ESO / FP Medio;Trabaja;;;Es mi primera visita;Muy pocas actividades, es reducida la oferta.;2;10;0;0;0;0;10;0;10;0;10;0;10;8/1/2024 17:30;8/1/2024 17:30
Masculino;1990;34;Española;;41410;EGB / Primaria / ESO / FP Medio;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Muy pocas actividades, es reducida la oferta.;6;7;2;2;8;8;8;7;2;8;2;5;10;8/1/2024 17:24;8/1/2024 17:24
Masculino;1996;28;Española;;30302;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Muchas actividades, la oferta es abundante.;7;7;7;7;7;7;7;7;7;7;7;7;7;9/1/2024 21:30;9/1/2024 21:30
Masculino;1978;46;Española;;41006;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;7;1;1;4;8;9;5;8;8;7;6;7;10;8/1/2024 17:23;8/1/2024 17:23
Femenino;2003;21;Española;;23002;Bachiller/ FP Superior;Estudia;;;Menos de 7 días al año;Muchas actividades, la oferta es abundante.;9;7;6;2;8;8;8;9;6;8;8;9;10;8/1/2024 17:22;8/1/2024 17:22
Femenino;1992;32;Española;;37312;Grado / Licenciado / Doctorado;Trabaja;;;Es mi primera visita;Suficientes actividades, la oferta se ajusta a las necesidades;8;8;0;8;8;8;8;8;8;0;8;0;8;9/1/2024 21:22;9/1/2024 21:22
Masculino;1982;42;Española;;41020;Bachiller/ FP Superior;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Muchas actividades, la oferta es abundante.;10;10;1;1;10;10;10;10;10;6;3;10;10;8/1/2024 17:18;8/1/2024 17:18
Masculino;1978;46;Española;;41006;Bachiller/ FP Superior;Trabaja;;Entre 7 y 15 días al año;Entre 7 y 15 días al año;Muy pocas actividades, es reducida la oferta.;7;5;1;2;8;8;4;8;8;8;9;8;10;8/1/2024 17:17;8/1/2024 17:17
Masculino;1991;33;Española;;23100;Bachiller/ FP Superior;Trabaja;;Entre 7 y 15 días al año;Entre 7 y 15 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;10;3;5;8;10;10;8;8;2;9;3;3;6;8/1/2024 15:38;8/1/2024 15:38
Masculino;1983;41;Española;;28500;Bachiller/ FP Superior;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Muchas actividades, la oferta es abundante.;1;1;1;7;7;1;5;0;5;5;6;5;6;7/1/2024 15:23;7/1/2024 15:23
Masculino;1961;63;Española;;29130;Grado / Licenciado / Doctorado;Trabaja;;;Es mi primera visita;Muchas actividades, la oferta es abundante.;6;7;0;7;5;5;7;7;7;0;7;0;6;7/1/2024 11:25;7/1/2024 11:25
Masculino;1991;33;Española;;30140;Grado / Licenciado / Doctorado;Trabaja;;Entre 7 y 15 días al año;Entre 7 y 15 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;7;7;7;3;7;6;9;1;8;8;8;7;10;8/1/2024 17:16;8/1/2024 17:16
Masculino;2004;20;Española;;29670;EGB / Primaria / ESO / FP Medio;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Muy pocas actividades, es reducida la oferta.;7;6;7;7;7;6;5;7;6;6;6;5;7;9/1/2024 21:02;9/1/2024 21:02
Masculino;2001;23;Española;;14400;EGB / Primaria / ESO / FP Medio;Trabaja;;;Entre 7 y 15 días al año;Muchas actividades, la oferta es abundante.;7;6;7;6;6;10;10;8;8;8;8;8;10;8/1/2024 17:14;8/1/2024 17:14
Femenino;1967;57;Española;;29014;Bachiller/ FP Superior;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Muy pocas actividades, es reducida la oferta.;7;7;7;5;6;4;8;4;7;6;7;7;8;9/1/2024 21:00;9/1/2024 21:00
Masculino;1976;48;Española;;11630;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Muy pocas actividades, es reducida la oferta.;9;2;1;1;2;1;1;2;2;8;1;8;8;9/1/2024 20:56;9/1/2024 20:56
Masculino;1994;30;Española;;41015;Grado / Licenciado / Doctorado;Trabaja;;;Es mi primera visita;Suficientes actividades, la oferta se ajusta a las necesidades;8;8;0;0;0;0;8;0;8;0;8;0;8;9/1/2024 20:56;9/1/2024 20:56
Masculino;1983;41;Española;;18014;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;6;7;8;1;10;6;6;8;7;3;3;4;10;8/1/2024 16:59;8/1/2024 16:59
Femenino;1976;48;Española;;29700;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;7;7;5;5;7;6;5;7;7;8;5;5;8;9/1/2024 20:53;9/1/2024 20:53
Femenino;1978;46;Española;;18012;Grado / Licenciado / Doctorado;Trabaja;;;Entre 15 y 25 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;10;8;5;5;10;10;9;8;8;9;8;8;10;8/1/2024 16:54;8/1/2024 16:54
Masculino;1981;43;Española;;21110;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;10;5;6;6;8;10;5;7;6;8;4;8;10;8/1/2024 16:53;8/1/2024 16:53
Femenino;2004;20;Española;;41008;Bachiller/ FP Superior;Estudia;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;7;10;4;2;7;9;6;0;5;10;7;6;10;8/1/2024 16:47;8/1/2024 16:47
Masculino;1997;27;Española;;29680;Bachiller/ FP Superior;Trabaja;;Entre 7 y 15 días al año;Entre 7 y 15 días al año;Muchas actividades, la oferta es abundante.;10;10;5;5;10;10;4;8;10;10;10;10;10;8/1/2024 16:45;8/1/2024 16:45
Masculino;1979;45;Española;;18230;Bachiller/ FP Superior;Trabaja;;;Entre 7 y 15 días al año;Muchas actividades, la oferta es abundante.;8;8;6;5;8;7;8;8;3;7;8;9;8;9/1/2024 20:24;9/1/2024 20:24
Femenino;1993;31;Española;;6300;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Muchas actividades, la oferta es abundante.;8;7;8;7;6;8;8;5;5;8;8;7;6;4/1/2024 19:16;4/1/2024 19:16
Masculino;1983;41;Española;;30140;EGB / Primaria / ESO / FP Medio;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Muchas actividades, la oferta es abundante.;7;7;5;8;7;8;8;7;4;7;3;6;10;8/1/2024 16:45;8/1/2024 16:45
Masculino;1984;40;Española;;18003;Grado / Licenciado / Doctorado;Trabaja;;;Más de 25 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;9;9;8;6;10;8;8;9;6;8;5;2;10;8/1/2024 16:44;8/1/2024 16:44
Femenino;1983;41;Española;;28938;Bachiller/ FP Superior;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;6;5;5;1;8;10;2;5;5;8;7;6;10;8/1/2024 16:43;8/1/2024 16:43
Masculino;1980;44;Española;;41007;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Muchas actividades, la oferta es abundante.;7;7;6;6;7;5;6;7;4;5;5;6;7;9/1/2024 20:02;9/1/2024 20:02
Masculino;1987;37;Española;;41620;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Muy pocas actividades, es reducida la oferta.;7;7;5;4;7;9;4;4;4;8;5;7;7;9/1/2024 20:00;9/1/2024 20:00
Femenino;1979;45;Española;;41007;Grado / Licenciado / Doctorado;Trabaja;;;Entre 7 y 15 días al año;Muy pocas actividades, es reducida la oferta.;7;6;7;8;9;7;9;8;5;9;5;9;7;9/1/2024 19:54;9/1/2024 19:54
Masculino;1984;40;Española;;18003;Grado / Licenciado / Doctorado;Trabaja;;;Más de 25 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;9;9;8;6;10;8;8;9;6;8;5;2;10;8/1/2024 16:43;8/1/2024 16:43
Masculino;1979;45;Española;;41013;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;7;8;2;4;8;6;8;8;5;8;7;8;8;9/1/2024 19:46;9/1/2024 19:46
Femenino;1994;30;Española;;18500;Grado / Licenciado / Doctorado;Trabaja;;;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;7;7;8;7;6;7;6;8;7;8;9;8;8;9/1/2024 19:40;9/1/2024 19:40
Femenino;2002;22;Española;;11630;Bachiller/ FP Superior;Estudia;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;8;6;9;6;7;8;6;10;3;5;6;10;10;8/1/2024 16:42;8/1/2024 16:42
Masculino;1980;44;Española;;41020;EGB / Primaria / ESO / FP Medio;Estudia;;;Es mi primera visita;Suficientes actividades, la oferta se ajusta a las necesidades;8;8;0;0;0;0;8;0;8;0;0;0;8;9/1/2024 19:36;9/1/2024 19:36
Femenino;1992;32;Española;;41009;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;9;4;8;5;10;5;6;6;6;5;6;5;6;4/1/2024 14:40;4/1/2024 14:40
Femenino;1991;33;Española;;41018;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;7;7;3;3;7;7;7;0;7;7;0;8;7;9/1/2024 19:34;9/1/2024 19:34
Masculino;1984;40;Española;;41011;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;10;7;8;8;10;10;3;8;7;9;5;7;10;8/1/2024 16:41;8/1/2024 16:41
Masculino;1990;34;Española;;14800;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;7;5;3;3;7;6;7;7;5;6;0;7;7;9/1/2024 19:31;9/1/2024 19:31
Masculino;2002;22;Española;;41218;Grado / Licenciado / Doctorado;Estudia;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;6;8;7;0;0;0;8;0;3;3;9;9;7;9/1/2024 19:29;9/1/2024 19:29
Femenino;1999;25;Española;;45001;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;7;8;6;3;8;10;7;7;8;9;8;9;8;9/1/2024 19:28;9/1/2024 19:28
Masculino;1996;28;Española;;45400;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;7;7;5;6;8;8;8;7;7;7;7;8;8;9/1/2024 19:27;9/1/2024 19:27
Masculino;1996;28;Española;;30507;Grado / Licenciado / Doctorado;Trabaja;;;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;8;10;9;7;9;10;8;7;9;8;8;5;10;9/1/2024 16:13;9/1/2024 16:13
Femenino;1976;48;Española;;41008;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;9;5;5;6;8;8;7;0;7;4;4;7;10;8/1/2024 16:38;8/1/2024 16:38
Femenino;1996;28;Española;;18008;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Muchas actividades, la oferta es abundante.;7;7;7;7;7;7;7;7;6;7;7;7;7;9/1/2024 19:20;9/1/2024 19:20
Femenino;1975;49;Española;;41012;Grado / Licenciado / Doctorado;Trabaja;;Entre 7 y 15 días al año;Entre 7 y 15 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;6;7;5;5;8;8;8;8;4;8;5;8;10;8/1/2024 16:30;8/1/2024 16:30
Femenino;1994;30;Otra;Alemana ;;Grado / Licenciado / Doctorado;Trabaja;;Entre 15 y 25 días al año;Entre 15 y 25 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;7;9;8;1;5;10;4;7;9;6;1;7;10;8/1/2024 16:30;8/1/2024 16:30
Masculino;1987;37;Española;;30730;Bachiller/ FP Superior;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Muchas actividades, la oferta es abundante.;10;10;10;5;10;5;10;7;10;10;3;8;8;9/1/2024 19:13;9/1/2024 19:13
Masculino;1984;40;Española;;14006;Bachiller/ FP Superior;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;7;7;7;7;9;8;7;6;8;8;8;8;8;9/1/2024 19:13;9/1/2024 19:13
Masculino;1994;30;Española;;18011;EGB / Primaria / ESO / FP Medio;Trabaja;;;Entre 7 y 15 días al año;Muy pocas actividades, es reducida la oferta.;8;8;6;7;1;2;6;7;8;8;3;5;7;9/1/2024 19:10;9/1/2024 19:10
Masculino;1976;48;Española;;41013;Grado / Licenciado / Doctorado;Trabaja;;;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;8;8;7;5;8;9;7;5;6;7;8;6;10;8/1/2024 16:27;8/1/2024 16:27
Masculino;1984;40;Española;;18003;Grado / Licenciado / Doctorado;Trabaja;;;Más de 25 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;9;9;8;6;10;8;8;9;6;8;5;2;10;8/1/2024 16:26;8/1/2024 16:26
Masculino;1998;26;Española;;41003;Grado / Licenciado / Doctorado;Trabaja;;Entre 7 y 15 días al año;Entre 7 y 15 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;8;8;5;7;9;8;5;0;6;8;4;2;7;9/1/2024 19:01;9/1/2024 19:01
Femenino;1969;55;Española;;39001;Grado / Licenciado / Doctorado;Trabaja;;;Menos de 7 días al año;Muy pocas actividades, es reducida la oferta.;9;2;1;1;10;5;5;5;5;6;3;1;6;4/1/2024 10:34;4/1/2024 10:34
Masculino;1977;47;Española;;23100;EGB / Primaria / ESO / FP Medio;Trabaja;;Entre 7 y 15 días al año;Entre 7 y 15 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;10;10;8;8;10;8;9;7;8;8;8;10;10;8/1/2024 16:24;8/1/2024 16:24
Femenino;1995;29;Española;;30006;Grado / Licenciado / Doctorado;Desempleado;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;10;9;10;10;10;10;6;8;6;10;10;10;10;8/1/2024 16:16;8/1/2024 16:16
Masculino;1994;30;Española;;11405;Bachiller/ FP Superior;Trabaja;;;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;6;7;7;4;9;6;7;8;5;8;8;8;7;9/1/2024 18:49;9/1/2024 18:49
Masculino;1985;39;Española;;11008;Grado / Licenciado / Doctorado;Trabaja;;;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;6;5;8;5;10;9;4;2;2;3;2;1;10;8/1/2024 16:14;8/1/2024 16:14
Femenino;1995;29;Española;;23740;Grado / Licenciado / Doctorado;Trabaja;;;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;7;5;2;5;5;7;7;7;5;6;5;7;7;9/1/2024 18:45;9/1/2024 18:45
Masculino;1994;30;Española;;41018;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;9;8;5;6;9;5;0;6;8;9;4;7;8;9/1/2024 18:39;9/1/2024 18:39
Femenino;1980;44;Española;;18194;Grado / Licenciado / Doctorado;Desempleado;;Menos de 7 días al año;Menos de 7 días al año;Muy pocas actividades, es reducida la oferta.;7;7;5;6;7;7;6;5;4;5;5;6;6;3/1/2024 16:29;3/1/2024 16:29
Masculino;1995;29;Española;;4720;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;8;4;6;6;6;5;5;3;3;2;3;7;7;9/1/2024 18:18;9/1/2024 18:18
Femenino;1973;51;Española;;29640;Bachiller/ FP Superior;Trabaja;;;Entre 7 y 15 días al año;Muy pocas actividades, es reducida la oferta.;6;6;6;5;5;6;4;0;4;5;4;6;7;9/1/2024 18:05;9/1/2024 18:05
Masculino;1984;40;Española;;18003;Grado / Licenciado / Doctorado;Trabaja;;;Más de 25 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;9;9;8;6;10;8;8;9;6;8;5;2;10;8/1/2024 16:11;8/1/2024 16:11
Masculino;1991;33;Española;;14910;EGB / Primaria / ESO / FP Medio;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Muchas actividades, la oferta es abundante.;10;10;9;9;10;9;5;9;1;9;8;10;10;8/1/2024 16:09;8/1/2024 16:09
Masculino;2001;23;Española;;30594;Grado / Licenciado / Doctorado;Estudia;;Menos de 7 días al año;Menos de 7 días al año;Muchas actividades, la oferta es abundante.;7;7;3;2;7;9;7;7;7;6;7;7;6;3/1/2024 11:00;3/1/2024 11:00
Masculino;1983;41;Española;;41720;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;7;7;3;2;7;8;6;7;8;6;6;4;7;9/1/2024 17:53;9/1/2024 17:53
Masculino;2000;24;Española;;29620;Bachiller/ FP Superior;Trabaja;;;Es mi primera visita;Suficientes actividades, la oferta se ajusta a las necesidades;10;7;0;6;8;10;1;1;6;0;10;0;6;1/1/2024 20:50;1/1/2024 20:50
Femenino;2001;23;Española;;18003;Grado / Licenciado / Doctorado;Trabaja;;;Es mi primera visita;Suficientes actividades, la oferta se ajusta a las necesidades;6;6;0;0;0;0;6;0;6;0;6;0;6;1/1/2024 19:27;1/1/2024 19:27
Masculino;1975;49;Española;;41940;Grado / Licenciado / Doctorado;Trabaja;;;Menos de 7 días al año;Muy pocas actividades, es reducida la oferta.;7;8;6;6;8;9;6;7;9;8;4;6;8;9/1/2024 17:46;9/1/2024 17:46
Masculino;1991;33;Española;;11130;Grado / Licenciado / Doctorado;Trabaja;;Entre 7 y 15 días al año;Entre 7 y 15 días al año;Muy pocas actividades, es reducida la oferta.;8;8;5;4;7;8;5;6;4;8;2;7;7;9/1/2024 17:45;9/1/2024 17:45
Masculino;1968;56;Española;;41807;Grado / Licenciado / Doctorado;Trabaja;;;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;8;7;7;6;9;9;6;6;7;7;6;6;8;9/1/2024 17:43;9/1/2024 17:43
Masculino;2000;24;Española;;11407;Grado / Licenciado / Doctorado;Estudia;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;5;5;5;8;8;6;10;10;1;10;1;5;10;8/1/2024 16:05;8/1/2024 16:05
Masculino;1968;56;Española;;29649;Grado / Licenciado / Doctorado;Trabaja;;;Entre 7 y 15 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;8;8;7;2;10;6;8;8;7;4;3;5;8;9/1/2024 17:34;9/1/2024 17:34
Masculino;1978;46;Española;;18001;Grado / Licenciado / Doctorado;Trabaja;;;Entre 7 y 15 días al año;Muchas actividades, la oferta es abundante.;8;8;5;5;9;10;10;10;7;8;8;10;10;8/1/2024 16:02;8/1/2024 16:02
Masculino;1974;50;Española;;16002;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;5;5;5;7;7;9;5;5;5;5;4;7;8;9/1/2024 17:27;9/1/2024 17:27
Masculino;1980;44;Española;;30830;Grado / Licenciado / Doctorado;Desempleado;;;Menos de 7 días al año;Muchas actividades, la oferta es abundante.;6;1;1;4;7;8;7;0;7;8;5;5;6;1/1/2024 13:36;1/1/2024 13:36
Masculino;1996;28;Española;;41020;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;9;9;8;9;8;8;8;7;8;8;9;8;8;9/1/2024 17:18;9/1/2024 17:18
Masculino;1993;31;Española;;41010;Grado / Licenciado / Doctorado;Trabaja;;;Entre 7 y 15 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;9;6;6;3;8;6;3;5;5;8;3;8;8;9/1/2024 17:04;9/1/2024 17:04
Femenino;1968;55;Española;;29640;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;4;6;5;4;7;6;7;6;6;8;6;5;6;30/12/2023 09:42;30/12/2023 09:42
Masculino;1979;45;Española;;21500;Grado / Licenciado / Doctorado;Trabaja;;Entre 7 y 15 días al año;Entre 7 y 15 días al año;Muy pocas actividades, es reducida la oferta.;9;9;9;9;9;0;9;0;1;8;9;8;8;9/1/2024 16:47;9/1/2024 16:47
Masculino;1971;53;Española;;29640;Bachiller/ FP Superior;Trabaja;;;Entre 7 y 15 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;8;5;0;6;7;8;7;0;8;8;5;8;7;9/1/2024 16:45;9/1/2024 16:45
Masculino;1979;45;Española;;21500;Grado / Licenciado / Doctorado;Trabaja;;Entre 7 y 15 días al año;Entre 7 y 15 días al año;Muy pocas actividades, es reducida la oferta.;9;9;9;9;9;0;9;0;1;8;9;8;8;9/1/2024 16:44;9/1/2024 16:44
Femenino;1981;43;Española;;41020;Grado / Licenciado / Doctorado;Trabaja;;;Entre 15 y 25 días al año;Muchas actividades, la oferta es abundante.;8;8;8;8;10;8;8;9;7;8;6;4;10;8/1/2024 16:01;8/1/2024 16:01
Masculino;2001;23;Española;;4520;Grado / Licenciado / Doctorado;Desempleado;;Menos de 7 días al año;Menos de 7 días al año;Muchas actividades, la oferta es abundante.;10;10;10;0;0;0;10;0;10;10;10;10;10;8/1/2024 16:00;8/1/2024 16:00
Masculino;1979;45;Española;;41012;Grado / Licenciado / Doctorado;Trabaja;;Entre 7 y 15 días al año;Entre 7 y 15 días al año;Muy pocas actividades, es reducida la oferta.;8;5;5;2;7;8;3;7;3;3;4;7;8;9/1/2024 16:33;9/1/2024 16:33
Masculino;1994;30;Española;;8015;Bachiller/ FP Superior;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;7;7;7;5;7;9;7;9;6;8;8;9;7;9/1/2024 16:30;9/1/2024 16:30
Femenino;1995;29;Española;;18007;Grado / Licenciado / Doctorado;Trabaja;;;Menos de 7 días al año;Muy pocas actividades, es reducida la oferta.;9;9;6;8;3;6;4;7;5;7;3;8;8;9/1/2024 16:29;9/1/2024 16:29
Masculino;1982;41;Española;;29620;Bachiller/ FP Superior;Trabaja;;;Es mi primera visita;Suficientes actividades, la oferta se ajusta a las necesidades;6;7;0;8;7;7;5;7;7;0;5;0;6;30/12/2023 09:19;30/12/2023 09:19
Masculino;1981;42;Española;;41710;EGB / Primaria / ESO / FP Medio;Trabaja;;;Menos de 7 días al año;Muy pocas actividades, es reducida la oferta.;5;7;7;5;6;6;6;6;7;7;6;6;6;27/12/2023 12:11;27/12/2023 12:11
Masculino;1996;28;Española;;29010;Grado / Licenciado / Doctorado;Trabaja;;;Entre 7 y 15 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;10;7;7;4;10;10;8;0;5;10;3;8;10;8/1/2024 22:34;8/1/2024 22:34
Masculino;1971;52;Española;;28905;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;5;8;4;6;6;8;4;5;4;5;6;7;6;25/12/2023 10:55;25/12/2023 10:55
Masculino;1985;39;Española;;29720;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Muy pocas actividades, es reducida la oferta.;8;7;8;3;9;8;4;0;1;4;2;8;7;9/1/2024 16:02;9/1/2024 16:02
Masculino;1993;31;Española;;41007;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;8;6;6;3;6;5;6;7;7;8;5;6;8;9/1/2024 15:54;9/1/2024 15:54
Femenino;1980;43;Española;;21122;Grado / Licenciado / Doctorado;Trabaja;;Entre 7 y 15 días al año;Entre 7 y 15 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;9;8;8;3;7;8;7;7;6;7;7;7;6;24/12/2023 15:40;24/12/2023 15:40
Femenino;2007;17;Española;;41008;Bachiller/ FP Superior;Estudia;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;9;5;4;6;9;9;9;0;5;6;5;6;10;8/1/2024 15:58;8/1/2024 15:58
